cust_num,category,balance,age,acct_num,opendt
43,bonds,7343.06666666667,61,246,16775
43,low  equity,327.561111111111,61,247,16775
43,high equity,.00555555555555556,61,248,16987
43,intl equity,91.3611111111111,61,249,16987
43,Brokerage,383.311111111111,61,250,17538
43,bonds,2328.62222222222,61,251,17951
44,low  equity,35404.7388888889,62,252,18105
44,mon mkt,119805.477777778,62,253,18098
45,low  equity,4795.21111111111,48,254,13632
45,low  equity,1429.51666666667,48,255,13950
45,high equity,1899.78888888889,48,256,15427
45,high equity,6615.38333333333,48,257,15019
45,intl equity,431.694444444444,48,258,14599
45,low  equity,2958.83888888889,48,259,15809
45,Retire Date,11375.6888888889,48,260,16908
45,Retire Date,46686.8388888889,48,261,16972
45,intl equity,2298.27777777778,48,262,16972
45,low  equity,3184.22222222222,48,263,16972
45,high equity,2191.51666666667,48,264,16972
45,low  equity,5575.01666666667,48,265,16972
45,intl equity,6263.84444444444,48,266,16972
45,intl equity,2262.63333333333,48,267,17304
45,high equity,2809.7,48,268,17304
45,intl equity,3270.67222222222,48,269,17304
46,low  equity,8414.61111111111,49,270,12745
47,mon mkt,176449.905555556,46,271,14066
47,high equity,4961.01111111111,46,272,15413
47,intl equity,19318.8166666667,46,273,16063
47,low  equity,17002.5777777778,46,274,16063
47,high equity,14764.75,46,275,16063
47,low  equity,2166.77777777778,46,276,16482
47,low  equity,18052.15,46,277,17510
47,low  equity,902.588888888889,46,278,17510
49,bonds,25968.2,82,279,16455
49,bonds,16555.0888888889,82,280,17818
49,Retire Date,1184.05555555556,82,281,18037
49,low  equity,1191.65,82,282,18037
50,mon mkt,11.4833333333333,79,283,13997
50,low  equity,5127.02777777778,79,284,13956
50,intl equity,1184.27222222222,79,285,14655
51,intl equity,1673.50555555556,69,286,15418
51,low  equity,3922.80555555556,69,287,17356
51,low  equity,4178.92777777778,69,288,17587
52,low  equity,25562.2722222222,57,289,14773
53,mon mkt,4424.92777777778,58,290,14091
53,mon mkt,44118.7333333333,58,291,14089
53,high equity,15877.6222222222,58,292,15347
54,mon mkt,28435.0277777778,41,293,15964
54,low  equity,8841.01111111111,41,294,14031
54,low  equity,6130.15555555556,41,295,14255
54,high equity,16671.1,41,296,15819
56,mon mkt,4747.93888888889,38,297,14091
58,intl equity,3028.62777777778,67,298,17318
59,intl equity,8138.4,63,299,14707
60,low  equity,7070.97777777778,52,300,14676
60,bonds,3199.26111111111,52,301,17622
60,Brokerage,790.694444444444,52,302,17622
61,high equity,3155.75555555556,50,303,13403
61,low  equity,6029.80555555556,50,304,12997
61,intl equity,1185.22777777778,50,305,14615
61,mon mkt,10176.6555555556,50,306,16252
62,intl equity,34442.0833333333,65,307,13737
62,intl equity,47945.4777777778,65,308,13737
62,high equity,23591.3388888889,65,309,13737
62,low  equity,30181.0777777778,65,310,13737
62,intl equity,25946.4888888889,65,311,13737
62,high equity,1240.76111111111,65,312,14322
62,high equity,1597.19444444444,65,313,15032
62,Retire Date,3277.24444444444,65,314,15795
62,low  equity,14308.7,65,315,13692
62,intl equity,12315.3055555556,65,316,13692
62,high equity,7106.52222222222,65,317,13692
62,low  equity,7499.51111111111,65,318,13692
62,high equity,14585.2611111111,65,319,13692
62,intl equity,15838.9222222222,65,320,13692
62,low  equity,10297.6611111111,65,321,13692
62,high equity,7652.68888888889,65,322,13692
63,low  equity,5051.90555555556,50,323,12708
63,low  equity,3213.42777777778,50,324,12708
63,low  equity,4827.35,50,325,12708
63,intl equity,2589.56111111111,50,326,12708
63,bonds,2268.61666666667,50,327,14377
64,intl equity,54.5888888888889,54,328,14606
64,intl equity,54.5888888888889,54,329,14606
64,intl equity,411.8,54,330,14606
64,intl equity,2338.99444444444,54,331,14606
64,low  equity,4917.81111111111,54,332,14606
64,low  equity,5582.10555555556,54,333,14606
65,low  equity,1886.00555555556,82,334,16959
65,high equity,1316.75,82,335,16959
65,low  equity,506.95,82,336,16959
66,high equity,3426.48333333333,53,337,15985
67,low  equity,17430.2277777778,42,338,16362
67,intl equity,11168.3444444444,42,339,16691
67,intl equity,6642.65,42,340,16691
67,low  equity,12938.7055555556,42,341,16691
67,low  equity,13321.9777777778,42,342,16691
67,intl equity,6848.89444444444,42,343,16691
67,Brokerage,11227.7388888889,42,344,16691
67,low  equity,15836.6777777778,42,345,16687
67,intl equity,8458.18333333333,42,346,16687
67,intl equity,13316.1666666667,42,347,16687
67,intl equity,8199.18888888889,42,348,16687
67,Brokerage,13447.5222222222,42,349,16687
67,Brokerage,3617.91666666667,42,350,17553
67,Brokerage,2954.59444444444,42,351,17566
68,bonds,41878.3111111111,86,352,13010
70,bonds,38943.4444444444,61,353,14087
70,mon mkt,14876.9333333333,61,354,15253
70,bonds,38220.55,61,355,17498
71,high equity,40088.9666666667,69,356,11422
72,high equity,7198.17222222222,69,357,13234
72,intl equity,2128.83888888889,69,358,12863
72,high equity,5737.83333333333,69,359,12863
72,low  equity,2955.53888888889,69,360,12863
73,bonds,35413.0111111111,79,361,17967
74,mon mkt,14.7277777777778,71,362,11253
74,mon mkt,678.988888888889,71,363,15068
74,low  equity,899.588888888889,71,364,16814
74,mon mkt,10860.6944444444,71,365,17483
75,low  equity,1283.96666666667,46,366,14244
75,low  equity,1283.96666666667,46,367,14244
77,intl equity,7339.02777777778,43,368,13088
77,high equity,6441.2,43,369,14633
78,low  equity,364.383333333333,45,370,16359
79,low  equity,95768.15,66,371,11424
